id,city_id,dt,temperature,feels_like,humidity,weather_desc,wind_speed,visibility,updated_at
132,22,1759657346,31.38,37.38,66,mưa vừa,3.61,10000,2025-10-05 09:42:26.856150
134,42,1759657346,26.42,26.42,73,mây đen u ám,1.84,10000,2025-10-05 09:42:27.296393
3,4,1759326751,24.84,25.7,89,mây đen u ám,3.12,10000,2025-10-01 21:02:48.668636
4,6,1759329901,27.56,31.28,82,mây đen u ám,2.26,10000,2025-10-01 21:47:18.190460
5,4,1759376144,31.15,36.24,64,mây đen u ám,3.85,10000,2025-10-02 10:46:56.207889
6,6,1759376624,30.12,34.37,66,bầu trời quang đãng,1.99,10000,2025-10-02 10:46:56.450298
7,4,1759482638,28.69,33.31,77,mây rải rác,2.14,10000,2025-10-03 09:17:03.764656
8,6,1759482343,29.8,34.33,69,mây thưa,0.67,10000,2025-10-03 09:17:07.801103
9,11,1759484804,30.91,37.36,70,mây đen u ám,1.94,10000,2025-10-03 09:49:04.866321
10,14,1759484929,30.42,35.56,68,mây đen u ám,1.34,10000,2025-10-03 09:52:51.935783
136,6,1759657274,30.86,35.82,65,mưa vừa,0.87,10000,2025-10-05 09:42:27.715752
138,14,1759657347,31.68,38.68,68,mưa vừa,3.94,10000,2025-10-05 09:42:28.230342
140,75,1759657104,24.13,24.79,84,mưa nhẹ,1.3,10000,2025-10-05 09:42:28.613272
142,73,1759657178,30.97,35.55,63,mây đen u ám,1.51,10000,2025-10-05 09:42:29.008231
144,97,1759657349,30.53,35.83,68,mưa cường độ nặng,2.21,10000,2025-10-05 09:42:29.439639
146,11,1759657348,30.49,36.53,71,mây đen u ám,3.63,10000,2025-10-05 09:42:29.838484
17,22,1759485177,29.67,33.39,66,mây rải rác,1.85,10000,2025-10-03 09:52:57.524727
18,23,1759485076,31.61,36.46,61,mây cụm,1.18,10000,2025-10-03 09:52:57.821099
19,30,1759485380,28.02,30.84,71,mây cụm,1.56,10000,2025-10-03 09:56:20.164622
148,93,1759657351,26.42,26.42,77,mưa nhẹ,0.6,10000,2025-10-05 09:42:31.364059
150,22,1759744144,25.67,26.54,86,mây đen u ám,4.65,10000,2025-10-06 09:50:21.432268
152,42,1759744149,28.19,29.98,62,mây đen u ám,2.02,10000,2025-10-06 09:50:21.853227
154,6,1759743494,33.9,40.9,59,mưa nhẹ,1.07,10000,2025-10-06 09:50:22.301045
156,14,1759743502,25.44,26.34,88,mưa nhẹ,3.48,4380,2025-10-06 09:50:22.690227
25,41,1759485263,28.89,31.8,66,mây cụm,1.59,10000,2025-10-03 09:56:24.428812
26,42,1759485270,29.3,31.39,59,mây cụm,0.04,10000,2025-10-03 09:56:24.885905
158,75,1759744085,25.68,26.31,77,mưa vừa,1.91,10000,2025-10-06 09:50:23.071855
160,73,1759743663,32.95,38.35,57,mây đen u ám,0.57,10000,2025-10-06 09:50:23.465877
162,97,1759744141,25.67,26.62,89,mây đen u ám,1.27,10000,2025-10-06 09:50:23.853341
164,11,1759743665,31.6,36.16,60,mây đen u ám,3.36,10000,2025-10-06 09:50:24.222576
166,93,1759744225,25.03,25.76,83,mưa nhẹ,0.77,10000,2025-10-06 09:50:25.105537
37,72,1759485218,30.39,34.27,63,mây cụm,1.5,10000,2025-10-03 09:57:10.778058
38,73,1759485360,30.69,35.69,66,mây đen u ám,1.35,10000,2025-10-03 09:57:11.384395
39,74,1759485310,28.63,32.1,71,mây đen u ám,2.45,10000,2025-10-03 09:57:11.703305
40,75,1759485432,28.03,30.08,65,mây đen u ám,0.8,10000,2025-10-03 09:57:12.001393
41,76,1759485432,23.17,23.66,81,mây đen u ám,1.76,10000,2025-10-03 09:57:12.321106
42,77,1759485432,23.86,23.76,56,mây đen u ám,0.57,10000,2025-10-03 09:57:12.763899
43,78,1759485433,27.89,29.51,62,mây rải rác,1.63,10000,2025-10-03 09:57:13.119734
58,93,1759485438,27.01,28.96,71,mây cụm,0.98,10000,2025-10-03 09:57:18.919545
62,97,1759485301,30.47,35.42,67,mây rải rác,0.81,10000,2025-10-03 09:57:20.317133
70,4,1759613652,26.68,29.35,84,bầu trời quang đãng,2.13,10000,2025-10-04 21:37:37.056803
71,11,1759613753,26.87,30.18,88,mây đen u ám,2.36,10000,2025-10-04 21:37:37.362811
72,14,1759613735,27.68,32.15,86,mây rải rác,1.5,10000,2025-10-04 21:37:37.562234
73,6,1759613700,26.59,26.59,88,mây đen u ám,3.48,10000,2025-10-04 21:37:37.760688
76,30,1759613688,27.04,29.93,81,mây đen u ám,5.67,10000,2025-10-04 21:37:38.383603
80,22,1759613889,26.75,29.6,85,mây thưa,2.22,10000,2025-10-04 21:38:09.495932
81,23,1759613836,26.04,26.04,93,mây đen u ám,1.35,10000,2025-10-04 21:38:09.738945
133,23,1759657346,30.8,35.95,66,mây đen u ám,2.93,10000,2025-10-05 09:42:27.075582
135,77,1759657347,22.63,22.41,56,mây đen u ám,3.13,10000,2025-10-05 09:42:27.511471
137,4,1759657336,31.08,36.92,67,mưa vừa,3.51,10000,2025-10-05 09:42:27.928083
139,72,1759657348,31.33,37.26,66,mưa vừa,3.46,10000,2025-10-05 09:42:28.429116
141,76,1759657261,25.3,25.66,68,mây rải rác,1.6,10000,2025-10-05 09:42:28.807016
87,41,1759613897,23.82,24.74,95,mưa nhẹ,0.29,10000,2025-10-04 21:38:18.203252
88,42,1759613760,21.72,22.51,98,mây đen u ám,1.72,10000,2025-10-04 21:38:18.382393
143,74,1759657180,29.39,33.81,71,mây cụm,6.17,10000,2025-10-05 09:42:29.224168
145,41,1759657146,31.36,35.1,58,mưa nhẹ,0.93,10000,2025-10-05 09:42:29.641448
147,78,1759657349,28.63,31.61,68,mưa cường độ nặng,3.45,10000,2025-10-05 09:42:30.162721
149,30,1759657334,28.16,31.87,76,mây đen u ám,4.5,10000,2025-10-05 09:42:31.820704
151,23,1759744222,31.53,36.0,60,mây đen u ám,2.73,10000,2025-10-06 09:50:21.649355
153,77,1759744204,22.81,22.77,62,mây đen u ám,2.84,10000,2025-10-06 09:50:22.082375
155,4,1759743953,25.5,26.43,89,mây đen u ám,2.84,10000,2025-10-06 09:50:22.500732
157,72,1759744223,25.94,26.84,86,mây đen u ám,1.51,6768,2025-10-06 09:50:22.887101
159,76,1759744002,23.29,23.89,85,mưa cường độ nặng,0.87,10000,2025-10-06 09:50:23.271296
161,74,1759744212,29.4,33.42,69,mây đen u ám,6.17,10000,2025-10-06 09:50:23.665394
99,72,1759613879,26.69,29.62,87,mây rải rác,1.31,10000,2025-10-04 21:38:20.895720
100,73,1759613290,24.97,25.64,81,mây đen u ám,2.15,10000,2025-10-04 21:38:21.129199
101,74,1759613901,27.71,30.99,77,mây cụm,4.24,10000,2025-10-04 21:38:21.345665
102,75,1759613837,20.55,21.22,98,mây đen u ám,0.18,10000,2025-10-04 21:38:21.555165
103,76,1759613902,18.58,18.97,95,bầu trời quang đãng,1.73,10000,2025-10-04 21:38:22.771327
104,77,1759613773,16.54,16.76,96,mây đen u ám,0.67,10000,2025-10-04 21:38:22.964137
105,78,1759613902,23.87,24.71,92,mây cụm,0.46,10000,2025-10-04 21:38:23.159138
163,41,1759744087,22.54,23.33,95,mưa vừa,6.11,4157,2025-10-06 09:50:24.040813
165,78,1759744224,21.38,22.11,97,mưa cường độ nặng,7.83,3112,2025-10-06 09:50:24.625722
167,30,1759743712,30.0,34.8,69,mây đen u ám,3.98,10000,2025-10-06 09:50:25.280029
120,93,1759613760,20.63,21.28,97,bầu trời quang đãng,1.44,10000,2025-10-04 21:38:26.389833
124,97,1759613649,25.42,26.32,88,mây thưa,0.99,10000,2025-10-04 21:38:27.199697
